Model,MAE,RMSE,MAPE
SARIMA (default),42083.11,48964.1,22.89
SARIMA (tuned),31893.04,40065.51,17.79
XGBoost (default),31506.58,38651.02,16.63
XGBoost (tuned),35635.28,39973.27,19.12
