Model,MAE,RMSE,MAPE
Auto-SARIMA,27108.88,38138.99,12.36
Seasonal Naive,27869.13,29654.83,14.19
XGBoost (tuned),34519.79,39569.4,17.51
SARIMA,42083.11,48964.1,22.89
SARIMAX,42083.11,48964.1,22.89
SARIMA-XGBoost Hybrid (tuned),43835.93,50879.75,23.93
