Date,Forecast
2026-04-30,107518.0
2026-05-31,82671.0
2026-06-30,85155.0
2026-07-31,138725.0
2026-08-31,130290.0
2026-09-30,99201.0
2026-10-31,106427.0
2026-11-30,147713.0
2026-12-31,197577.0
2027-01-31,207957.0
2027-02-28,207749.0
2027-03-31,165864.0
2027-04-30,106800.0
2027-05-31,75838.0
2027-06-30,80311.0
2027-07-31,133454.0
2027-08-31,125404.0
2027-09-30,94029.0
2027-10-31,101253.0
2027-11-30,142698.0
2027-12-31,192465.0
2028-01-31,203053.0
2028-02-29,202903.0
2028-03-31,159627.0
