Year,Country ,Continent,Sub Continent,Date,Arrivals 
2018,AUSTRALIA,Oceania,Australasia,2018/09/30,"8,746"
2018,AUSTRALIA,Oceania,Australasia,2018/10/31,"6,912"
2018,AUSTRALIA,Oceania,Australasia,2018/11/30,"10,299"
2018,AUSTRALIA,Oceania,Australasia,2018/12/31,"14,961"
2018,AUSTRIA,Europe,Western Europe,2018/01/31,"2,833"
2018,AUSTRIA,Europe,Western Europe,2018/02/28,"3,156"
2018,AUSTRIA,Europe,Western Europe,2018/03/31,"2,573"
2018,AUSTRIA,Europe,Western Europe,2018/04/30,"1,103"
2018,AUSTRIA,Europe,Western Europe,2018/05/31,637
2018,AUSTRIA,Europe,Western Europe,2018/06/30,543
2018,AUSTRIA,Europe,Western Europe,2018/07/31,"1,642"
2018,AUSTRIA,Europe,Western Europe,2018/08/31,"1,216"
2018,AUSTRIA,Europe,Western Europe,2018/09/30,875
2018,AUSTRIA,Europe,Western Europe,2018/10/31,"1,036"
2018,AUSTRIA,Europe,Western Europe,2018/11/30,"1,692"
2018,AUSTRIA,Europe,Western Europe,2018/12/31,"2,014"
2018,AZERBAIJAN,Asia,West Asia,2018/01/31,78
2018,AZERBAIJAN,Asia,West Asia,2018/02/28,30
2018,AZERBAIJAN,Asia,West Asia,2018/03/31,109
2018,AZERBAIJAN,Asia,West Asia,2018/04/30,19
2018,AZERBAIJAN,Asia,West Asia,2018/05/31,16
2018,AZERBAIJAN,Asia,West Asia,2018/06/30,13
2018,AZERBAIJAN,Asia,West Asia,2018/07/31,30
2018,AZERBAIJAN,Asia,West Asia,2018/08/31,30
2018,AZERBAIJAN,Asia,West Asia,2018/09/30,24
2018,AZERBAIJAN,Asia,West Asia,2018/10/31,36
2018,AZERBAIJAN,Asia,West Asia,2018/11/30,19
2018,AZERBAIJAN,Asia,West Asia,2018/12/31,108
2018,BAHAMAS,North America,Caribbean,2018/01/31,1
2018,BAHAMAS,North America,Caribbean,2018/02/28,4
2018,BAHAMAS,North America,Caribbean,2018/03/31,4
2018,BAHAMAS,North America,Caribbean,2018/04/30,24
2018,BAHAMAS,North America,Caribbean,2018/05/31,6
2018,BAHAMAS,North America,Caribbean,2018/06/30,1
2018,BAHAMAS,North America,Caribbean,2018/07/31,0
2018,BAHAMAS,North America,Caribbean,2018/08/31,5
2018,BAHAMAS,North America,Caribbean,2018/09/30,3
2018,BAHAMAS,North America,Caribbean,2018/10/31,0
2018,BAHAMAS,North America,Caribbean,2018/11/30,0
2018,BAHAMAS,North America,Caribbean,2018/12/31,0
2018,BAHRAIN,Asia,West Asia,2018/01/31,588
2018,BAHRAIN,Asia,West Asia,2018/02/28,147
2018,BAHRAIN,Asia,West Asia,2018/03/31,195
2018,BAHRAIN,Asia,West Asia,2018/04/30,151
2018,BAHRAIN,Asia,West Asia,2018/05/31,108
2018,BAHRAIN,Asia,West Asia,2018/06/30,245
2018,BAHRAIN,Asia,West Asia,2018/07/31,392
2018,BAHRAIN,Asia,West Asia,2018/08/31,432
2018,BAHRAIN,Asia,West Asia,2018/09/30,99
2018,BAHRAIN,Asia,West Asia,2018/10/31,90
2018,BAHRAIN,Asia,West Asia,2018/11/30,103
2018,BAHRAIN,Asia,West Asia,2018/12/31,308
2018,BANGLADESH,Asia,South Asia,2018/01/31,982
2018,BANGLADESH,Asia,South Asia,2018/02/28,741
2018,BANGLADESH,Asia,South Asia,2018/03/31,996
2018,BANGLADESH,Asia,South Asia,2018/04/30,672
